State,latitude,Longitud
Guerrero,17.66677072,-99.90155686
Quintana Roo,19.5559447,-88.25477854
Distrito Federal,19.27260191,-99.12848299
Tlaxcala,19.41836228,-98.15402078
Zacatecas,23.30661185,-102.7006117
Michoacán de Ocampo,19.20926406,-101.8804987
Coahuila de Zaragoza,27.30176813,-102.0387459
Chihuahua,28.80296155,-106.4444675
Chiapas,16.49924145,-92.46523639
Guanajuato,20.8963582,-101.0216951
Tabasco,17.94880191,-92.57868269
Tamaulipas,24.28615895,-98.61766414
Durango,24.93349114,-104.9207337
Nuevo León,25.57808548,-99.96025001
Hidalgo,20.4698706,-98.87456604
Sonora,29.70680321,-110.8057851
Aguascalientes,22.00933361,-102.3659993
Nayarit,21.8463858,-104.9122928
Jalisco,20.60007439,-103.6191993
Colima,19.14167518,-103.9258076
Oaxaca,16.95889539,-96.43184142
Veracruz de Ignacio de la Llave,19.37318624,-96.39869452
Yucatán,20.77831397,-88.93982397
Querétaro,20.83864336,-99.85120607
México,19.36023108,-99.63376551
Puebla,19.01493205,-97.88183896
Baja California Sur,25.9288397,-112.0531764
Campeche,18.86867906,-90.43682566
Baja California,30.54824087,-115.0844499
Sinaloa,25.01748598,-107.4836743
Morelos,18.75853881,-99.06334974
San Luis Potosí,22.61562525,-100.4403438
